,predict,name,position
163,0.34,Ed Turns,DEF
164,3.23,Ederson Santana de Moraes,GK
165,2.66,Edinson Cavani,FWD
166,2.08,Edo Kayembe,MID
167,0.24,Eldin Jakupovic,GK
168,0.66,Ellery Balcombe,GK
169,0.22,Elliot Anderson,MID
170,0.58,Ellis Simms,FWD
171,2.6025,Emerson Aparecido Leite de Souza Junior,DEF
172,0.48,Emil Krafth,DEF
173,2.9686363636363637,Emiliano Buendía Stati,MID
174,2.53,Emiliano Martínez,GK
175,4.0725,Emmanuel Dennis,FWD
176,1.47,Enock Mwepu,MID
177,1.16,Eric Bailly,DEF
178,1.72,Eric Dier,DEF
179,0.78,Erik Lamela,MID
180,1.9986363636363638,Erik Pieters,DEF
181,2.67,Ethan Pinnock,DEF
182,0.35,Evan Ferguson,FWD
183,2.24,Ezri Konsa Ngoyo,DEF
184,0.76,Fabian Delph,MID
185,1.76,Fabian Schär,DEF
186,2.54,Fabio Henrique Tavares,MID
187,1.55,Fabio Silva,FWD
188,0.24,Federico Fernández,DEF
189,2.27,Fernando Luiz Rosa,DEF
190,1.59,Fernando Marçal,DEF
191,1.68,Ferran Torres,MID
192,0.23,Filip Marschall,GK
193,0.56,Finley Stevens,DEF
194,0.5,Florin Andone,FWD
195,0.59,Francisco Casilla Cortés,GK
196,1.59,Francisco Femenía Far,DEF
197,1.48,Francisco Jorge Tomás Oliveira,MID
198,1.99,Francisco Machado Mota de Castro Trincão,MID
199,0.33,Francisco Sierralta,DEF
200,1.31,Frank Onyeka,MID
201,2.76,Fraser Forster,GK
202,0.51,Freddie Woodman,GK
203,1.92,Frederico Rodrigues de Paula Santos,MID
204,0.36,Frederik Alves,DEF
205,0.85,Frédéric Guilbert,DEF
206,2.62,Gabriel Fernando de Jesus,FWD
207,1.21,Giovani Lo Celso,MID
208,1.66,Grant Hanley,DEF
209,1.39,Gylfi Sigurdsson,MID
210,0.9,Halil Dervişoğlu,FWD
211,2.05,Hamza Choudhury,MID
212,0.7,Hannibal Mejbri,MID
213,0.28,Harrison Ashby,DEF
214,4.6,Harry Kane,FWD
215,0.35,Harry Lewis,GK
216,2.59,Harry Maguire,DEF
217,0.26,Harry Tyrer,GK
218,2.1186363636363637,Harry Winks,MID
219,2.93,Harvey Barnes,MID
220,1.15,Harvey Elliott,MID
221,0.31,Harvey White,MID
222,1.69,Hassane Kamara,DEF
223,0.38,Haydon Roberts,DEF
224,1.43,Hee-Chan Hwang,FWD
225,5.23,Heung-Min Son,MID
226,0.17,Hugo Bueno,DEF
227,2.94,Hugo Lloris,GK
228,1.31,Héctor Junior Firpo Adames,DEF
229,0.88,Hélder Wander Sousa de Azevedo e Costa,MID
230,0.58,Ian Carlo Poveda-Ocampo,MID
231,1.59,Ibrahima Diallo,MID
232,1.97,Ibrahima Konaté,DEF
233,3.62,Ilkay Gündogan,MID
234,3.64,Illan Meslier,GK
235,1.4,Imrân Louza,MID
236,0.46,Isaac Hayden,MID
237,0.55,Isaac Success Ajayi,FWD
238,1.31,Ismaila Sarr,MID
239,3.21,Issa Diop,DEF
240,3.71,Ivan Toney,FWD
241,0.87,Jack Butland,GK
242,0.81,Jack Cork,MID
243,2.87,Jack Grealish,MID
244,3.17,Jack Harrison,MID
245,0.23,Jack Jenkins,MID
246,0.44,Jack Stephens,DEF
247,1.05,Jacob Murphy,MID
248,3.358636363636364,Jacob Ramsey,MID
249,0.64,Jacob Sørensen,DEF
250,0.49,Jaden Philogene-Bidace,MID
251,5.03,Jadon Sancho,MID
252,0.56,Jairo Riedewald,MID
253,1.98,Jakub Moder,MID
254,1.69,Jamaal Lascelles,DEF
255,0.46,Jamal Baptiste,DEF
256,0.44,Jamal Lewis,DEF
257,1.58,James Justin,DEF
258,3.21,James Maddison,MID
259,0.9886363636363636,James McArthur,MID
260,0.34,James McAtee,MID
261,0.85,James Milner,MID
262,0.23,James Morris,DEF
263,1.7,James Rodríguez,MID
264,0.36,James Storer,GK
265,2.128636363636364,James Tarkowski,DEF
266,0.42,James Tomkins,DEF
267,2.81,James Ward-Prowse,MID
268,0.57,Jamie Shackleton,MID
269,3.69,Jamie Vardy,FWD
270,3.02,Jan Bednarek,DEF
271,0.7,Jan Zamburek,MID
272,2.54,Jannik Vestergaard,DEF
273,1.39,Japhet Tanganga,DEF
274,0.36,Jarell Quansah,DEF
275,0.41,Jarosław Jach,DEF
276,1.78,Jarrad Branthwaite,DEF
277,3.45,Jarrod Bowen,MID
278,0.57,Jason Steele,GK
279,0.6586363636363636,Javier Manquillo,DEF
280,1.8586363636363636,Jay Rodriguez,FWD
281,0.26,Jean-Philippe Gbamin,MID
282,2.6386363636363637,Jean-Philippe Mateta,FWD
283,0.76,Jed Steer,GK
284,0.54,Jeff Hendrick,MID
285,1.74,Jeffrey Schlupp,MID
286,0.91,Jeremy Ngakia,DEF
287,0.37,Jeremy Sarmiento,MID
288,2.36,Jesse Lingard,MID
289,0.29,Jesurun Rak-Sakyi,MID
290,2.56,Joachim Andersen,DEF
291,1.18,Joe Gelhardt,FWD
292,0.52,Joe Hart,GK
293,0.54,Joe Rodon,DEF
294,0.14,Joe White,MID
295,2.2386363636363638,Joel Matip,DEF
296,2.04,Joel Ward,DEF
297,1.8186363636363638,Joelinton Cássio Apolinário de Lira,FWD
298,0.82,Johann Berg Gudmundsson,MID
299,2.278636363636364,John McGinn,MID
300,0.36,John Ruddy,GK
301,2.47,John Stones,DEF
302,0.17,Jon McCracken,GK
303,1.0,Jonas Lössl,GK
304,0.3,Jonathan Castro Otto,DEF
305,0.22,Jonathan Rowe,MID
306,0.23,Jonathan Tomkinson,DEF
307,2.96,Jonjo Shelvey,MID
308,1.4,Jonjoe Kenny,DEF
309,1.05,Jonny Evans,DEF
310,2.11,Jordan Ayew,FWD
311,1.5986363636363636,Jordan Henderson,MID
312,0.61,Jordan Hugill,FWD
313,2.05,Jordan Pickford,GK
314,0.96,Joseph Gomez,DEF
315,0.26,Joseph Hungbo,MID
316,2.01,Joseph Willock,MID
317,0.63,Josh Benson,MID
318,2.16,Josh Brownhill,MID
319,0.23,Josh Feeney,DEF
320,0.65,Josh Martin,MID
321,3.15,Joshua King,FWD
322,2.64,Joshua Sargent,FWD
323,0.38,Joshua Wilson-Esbrand,DEF
324,2.8,José Diogo Dalot Teixeira,DEF
325,4.23,José Malheiro de Sá,GK
326,2.29,João Filipe Iria Santos Moutinho,MID
327,3.49,João Pedro Cavaco Cancelo,DEF
328,2.23,João Pedro Junqueira de Jesus,FWD
329,0.72,João Virgínia,GK
330,2.14,Joël Veltman,DEF
331,1.19,Juan Camilo Hernández Suárez,FWD
332,0.52,Juan Mata,MID
333,2.02,Juraj Kucka,MID
334,1.05,Jürgen Locadia,FWD
335,0.55,Kaide Gordon,MID
336,0.22,Kaine Hayden,MID
337,1.19,Kalvin Phillips,MID
338,0.26,Kamil Conteh,MID
339,0.71,Karl Darlow,GK
340,0.22,Kasey McAteer,MID
341,2.68,Kasper Schmeichel,GK
342,0.8,Kayky da Silva Chagas,FWD
343,1.08,Keinan Davis,FWD
344,2.69,Kelechi Iheanacho,FWD
345,0.89,Ken Sema,MID
346,1.34,Kenny McLean,MID
347,5.3,Kevin De Bruyne,MID
348,0.65,Kevin Long,DEF
349,0.26,Kgaogelo Chauke,MID
350,0.39,Ki-Jana Hoever,DEF
351,0.74,Kieran Dowell,MID
352,3.15,Kieran Trippier,DEF
353,1.85,Kiernan Dewsbury-Hall,MID
354,0.4,Kjell Scherpen,GK
355,1.26,Konstantinos Tsimikas,DEF
356,1.47,Kortney Hause,DEF
357,0.16,Kris Moore,DEF
358,2.86,Kristoffer Ajer,DEF
359,0.29,Kristoffer Klaesson,GK
360,2.14,Kurt Zouma,DEF
361,0.27,Kwadwo Baah,MID
362,2.95,Kyle Walker,DEF
363,1.96,Kyle Walker-Peters,DEF
364,0.27,Lamare Bogarde,DEF
365,2.01,Leander Dendoncker,MID
366,2.36,Leandro Trossard,MID
367,1.0,Leo Fuhr Hjelde,DEF
368,1.07,Leon Bailey,MID
369,0.53,Lewis Bate,MID
370,0.22,Lewis Brunt,MID
371,0.46,Lewis Dobbin,FWD
372,1.9,Lewis Dunk,DEF
373,0.79,Lewis Richardson,FWD
374,0.91,Liam Cooper,DEF
375,0.4586363636363636,Liam Delap,FWD
376,0.26,Liam Gibbs,MID
377,0.23,Liam McCarron,MID
378,0.25,Louie Moulden,GK
379,0.49,Lucas De Bolle,MID
380,3.1986363636363637,Lucas Digne,DEF
381,2.3,Lucas Rodrigues Moura da Silva,MID
382,1.59,Luis Díaz,MID
383,0.9,Luka Milivojevic,MID
384,0.83,Lukas Rupp,MID
385,3.66,Lukasz Fabianski,GK
386,2.2,Luke Ayling,DEF
387,1.27,Luke Cundle,MID
388,0.39,Luke Mbete,DEF
389,2.98,Luke Shaw,DEF
390,1.7,Luke Thomas,DEF
391,1.83,Lyanco Evangelista Silveira Neves Vojnovic,DEF
392,0.8,Mads Bech Sørensen,DEF
393,0.62,Mads Bidstrup,MID
394,3.06,Mads Roerslev Rasmussen,DEF
395,2.56,Mahmoud Ahmed Ibrahim Hassan,MID
396,3.45,Manuel Lanzini,MID
397,1.55,Marc Albrighton,MID
398,2.64,Marc Cucurella,DEF
399,1.65,Marc Guéhi,DEF
400,0.38,Marc Leonard,MID
401,0.45,Marc Navarro,DEF
402,0.36,Marcelo de Araújo Pitaluga Filho,GK
403,0.68,Marco Stiepermann,MID
404,1.27,Marcus Forss,FWD
405,5.57,Marcus Rashford,MID
406,0.51,Mark Gillespie,GK
407,1.26,Mark Noble,MID
408,1.6886363636363637,Martin Dubravka,GK
409,0.82,Martin Kelly,DEF
410,1.06,Marvelous Nakamba,MID
411,2.36,Mason Greenwood,MID
412,1.9986363636363638,Mason Holgate,DEF
413,1.5,Matej Vydra,FWD
414,3.01,Mateusz Klich,MID
415,0.62,Mathew Ryan,GK
416,1.6,Mathias Jensen,MID
417,0.27,Mathias Jorgensen,DEF
418,0.95,Mathias Normann,MID
419,2.55,Matt Doherty,DEF
420,0.7,Matt Ritchie,MID
421,1.94,Matt Targett,DEF
422,2.2686363636363636,Matthew Cash,DEF
423,0.22,Matthew Cox,GK
424,0.39,Matthew Longstaff,MID
425,1.03,Matthew Lowton,DEF
426,0.51,Matthew Pollock,DEF
427,2.31,Max Aarons,DEF
428,2.64,Max Kilman,DEF
429,2.108636363636364,Maxwel Cornet,MID
430,0.25,Maxwell Haygarth,MID
431,2.16,Mbwana Ally Samatta,FWD
432,2.44,Michael Keane,DEF
433,0.8,Michael McGovern,GK
434,0.72,Michael Obafemi,FWD
435,2.5586363636363636,Michael Olise,MID
436,3.68,Michail Antonio,FWD
437,0.37,Michal Karbownik,DEF
438,1.27,Miguel Almirón,MID
439,1.76,Milot Rashica,MID
440,2.07,Mohamed Elyounoussi,MID
441,5.79,Mohamed Salah,MID
442,2.8,Mohammed Salisu,DEF
443,0.6,Moise Kean,FWD
444,0.37,Moisés Caicedo,MID
445,0.26,Morgan Gibbs-White,MID
446,1.95,Morgan Sanson,MID
447,0.68,Moussa Djenepo,MID
448,1.51,Moussa Sissoko,MID
449,0.25,Myles Peart-Harris,MID
450,1.39,Naby Keita,MID
451,0.61,Nampalys Mendy,MID
452,2.62,Nathan Aké,DEF
453,0.23,Nathan Broadhead,MID
454,0.38,Nathan Collins,DEF
455,0.45,Nathan Ferguson,DEF
456,0.29,Nathan Patterson,DEF
457,2.3,Nathan Redmond,MID
458,0.83,Nathan Tella,MID
459,0.28,Nathan Young-Coombes,FWD
460,0.52,Nathaniel Chalobah,MID
461,0.31,Nathaniel Clyne,DEF
462,0.54,Nathaniel Phillips,DEF
463,3.11,Neal Maupay,FWD
464,0.78,Neco Williams,DEF
465,1.35,Nemanja Matic,MID
466,2.628636363636364,Nick Pope,GK
467,0.23,Nicolas Nkoulou,DEF
468,0.24,Niels Nkounkou,DEF
469,2.52,Nikola Vlasic,MID
470,0.24,Nohan Kenneh,MID
471,2.55,Nélson Cabral Semedo,DEF
472,3.41,Odsonne Edouard,FWD
473,0.33,Oghenekaro Peter Etebo,MID
474,3.77,Oleksandr Zinchenko,DEF
475,0.88,Oliver Skipp,MID
476,2.39,Ollie Watkins,FWD
477,0.57,Onel Hernández,MID
478,3.02,Oriol Romeu Vidal,MID
479,0.27,Owen Beck,DEF
480,0.33,Owen Dodgson,DEF
481,0.26,Owen Otasowie,MID
482,0.22,Ozan Kabak,DEF
483,0.49,Ozan Tufan,MID
484,2.47,Pablo Fornals,MID
485,0.85,Pablo Hernández Domínguez,MID
486,0.25,Paris Maghoma,MID
487,2.31,Pascal Groß,MID
488,2.49,Pascal Struijk,DEF
489,2.37,Patrick Bamford,FWD
