,predict,name,position,team
557,1.51,Patrick Cutrone,FWD,Wolves
558,1.02,Patrik Gunnarsson,GK,Brentford
559,3.27,Patson Daka,FWD,Leicester
560,1.15,Paul Dummett,DEF,Newcastle
561,3.37,Paul Pogba,MID,Man Utd
562,2.63,Pedro Lomba Neto,MID,Wolves
563,2.35,Pelenda Joshua Dasilva,MID,Brentford
564,1.97,Phil Bardsley,DEF,Burnley
565,3.66,Phil Foden,MID,Man City
566,0.88,Phil Jones,DEF,Man Utd
567,2.7,Philip Zinckernagel,MID,Watford
568,3.73,Philippe Coutinho Correia,MID,Aston Villa
569,2.65,Pierluigi Gollini,GK,Spurs
570,1.65,Pierre Ekwah,DEF,West Ham
571,2.47,Pierre Lees-Melou,MID,Norwich
572,4.6,Pierre-Emerick Aubameyang,MID,Arsenal
573,1.81,Pierre-Emile Højbjerg,MID,Spurs
574,2.51,Pontus Jansson,DEF,Brentford
575,1.24,Przemyslaw Placheta,MID,Norwich
576,3.53,Raheem Sterling,MID,Man City
577,4.32,Raphael Dias Belloli,MID,Leeds
578,2.58,Raphaël Varane,DEF,Man Utd
579,2.19,Rayan Ait Nouri,DEF,Wolves
580,4.65,Raúl Jiménez,FWD,Wolves
581,0.78,Reece Hannam,DEF,Crystal Palace
582,2.17,Reece James,DEF,Chelsea
583,0.6,Reece Welch,DEF,Everton
584,1.04,Reiss Nelson,MID,Arsenal
585,0.76,Remi Matthews,GK,Crystal Palace
586,0.69,Rhys Williams,DEF,Liverpool
587,2.3504705882352943,Ricardo Domingos Barbosa Pereira,DEF,Leicester
588,2.88,Richarlison de Andrade,FWD,Everton
589,2.27,Rico Henry,DEF,Brentford
590,3.67,Riyad Mahrez,MID,Man City
591,2.21,Rob Holding,DEF,Arsenal
592,2.62,Robert Elliot,GK,Watford
593,0.67,Robert Kenedy Nunes do Nascimento,DEF,Chelsea
594,2.07,Robert Street,FWD,Crystal Palace
595,4.13,Robert Sánchez,GK,Brighton
596,3.88,Roberto Firmino,FWD,Liverpool
597,2.37,Robin Koch,DEF,Leeds
598,1.14,Robin Olsen,GK,Everton
599,2.58,Rodrigo Bentancur,MID,Spurs
600,2.79,Rodrigo Hernandez,MID,Man City
601,2.97,Rodrigo Moreno,FWD,Leeds
602,2.57,Romain Perraud,DEF,Southampton
603,2.92,Romain Saïss,DEF,Wolves
604,3.56,Romelu Lukaku,FWD,Chelsea
605,1.84,Romeo Lavia,MID,Man City
606,2.65,Ross Barkley,MID,Chelsea
607,2.84,Ruben Loftus-Cheek,MID,Chelsea
608,1.36,Rui Pedro dos Santos Patrício,GK,Wolves
609,0.55,Ryan Alebiosu,DEF,Arsenal
610,2.46,Ryan Bertrand,DEF,Southampton
611,2.06,Ryan Fraser,MID,Newcastle
612,1.22,Ryan Fredericks,DEF,West Ham
613,0.77,Ryan Giles,MID,Wolves
614,2.39,Ryan Sessegnon,DEF,Spurs
615,3.36,Rúben Diogo da Silva Neves,MID,Wolves
616,4.42,Rúben Santos Gato Alves Dias,DEF,Man City
617,2.19,Rúnar Alex Rúnarsson,GK,Arsenal
618,3.85,Sadio Mané,MID,Liverpool
619,0.61,Salah-Eddine Oulad M'hand,MID,Arsenal
620,4.03,Salomón Rondón,FWD,Everton
621,1.86,Sam Byram,DEF,Norwich
622,1.6,Sam Greenwood,FWD,Leeds
623,1.87,Sam Waller,GK,Burnley
624,2.72,Saman Ghoddos,MID,Brentford
625,2.36,Samir Caetano de Souza Santos,DEF,Watford
626,1.96,Samuel Edozie,MID,Man City
627,2.36,Samuel Kalu,MID,Watford
628,2.97,Saïd Benrahma,MID,West Ham
629,2.83,Saúl Ñíguez,MID,Chelsea
630,0.63,Scott Banks,MID,Crystal Palace
631,1.08,Scott Carson,GK,Man City
632,2.44,Scott McTominay,MID,Man Utd
633,1.01,Sead Kolasinac,DEF,Arsenal
634,1.5204166666666665,Seamus Coleman,DEF,Everton
635,2.86,Sean Longstaff,MID,Newcastle
636,2.31,Serge Aurier,DEF,Spurs
637,2.900470588235294,Sergi Canós,MID,Brentford
638,1.88,Sergio Reguilón,DEF,Spurs
639,2.7,Shandon Baptiste,MID,Brentford
640,1.1,Shane Duffy,DEF,Brighton
641,2.17,Shane Long,FWD,Southampton
642,2.64,Shaqai Forde,FWD,Watford
643,1.93,Shola Shoretire,MID,Man Utd
644,3.19,Solomon March,MID,Brighton
645,0.68,Sonny Perkins,MID,West Ham
646,1.8,Steven Alzate,MID,Brighton
647,2.63,Steven Bergwijn,MID,Spurs
648,2.87,Stipe Perica,FWD,Watford
649,2.51,Stuart Armstrong,MID,Southampton
650,2.55,Stuart Dallas,DEF,Leeds
651,1.6004705882352943,Stuart McKinstry,MID,Leeds
652,0.8004705882352942,Takehiro Tomiyasu,DEF,Arsenal
653,2.23,Takumi Minamino,MID,Liverpool
654,2.85,Tammy Abraham,FWD,Chelsea
655,3.56,Tanguy Ndombele,MID,Spurs
656,2.67,Tariq Lamptey,DEF,Brighton
657,1.47,Tariqe Fosu-Henry,MID,Brentford
658,1.37,Taylor Richards,MID,Brighton
659,0.59,Tayo Adaramola,DEF,Crystal Palace
660,3.13,Teemu Pukki,FWD,Norwich
661,3.46,Theo Walcott,MID,Everton
662,2.8,Thiago Alcántara do Nascimento,MID,Liverpool
663,2.75,Thiago Emiliano da Silva,DEF,Chelsea
664,0.57,Thierry Small,DEF,Southampton
665,2.16,Thomas Dickson-Peters,FWD,Norwich
666,1.38,Thomas McGill,GK,Brighton
667,2.46,Thomas Partey,MID,Arsenal
668,1.53,Tim Iroegbunam,MID,West Brom
669,1.97,Tim Krul,GK,Norwich
670,3.82,Timo Werner,FWD,Chelsea
671,2.07,Timothy Castagne,DEF,Leicester
672,1.93,Tino Livramento,DEF,Southampton
673,1.48,Tobi Omole,DEF,Spurs
674,1.67,Toby Alderweireld,DEF,Spurs
675,3.5,Todd Cantwell,MID,Norwich
676,3.37,Tom Cleverley,MID,Watford
677,1.34,Tom Davies,MID,Everton
678,1.06,Tom Heaton,GK,Aston Villa
679,3.48,Tomas Soucek,MID,West Ham
680,1.33,Tommi O'Reilly,MID,Aston Villa
681,1.75,Tommy Doyle,MID,Man City
682,0.73,Tony Springett,MID,Norwich
683,1.01,Toti António Gomes,DEF,Wolves
684,3.73,Trent Alexander-Arnold,DEF,Liverpool
685,2.06,Trevoh Chalobah,DEF,Chelsea
686,3.65,Troy Deeney,FWD,Watford
687,0.87,Tyler Morton,MID,Liverpool
688,0.62,Tyler Onyango,MID,Everton
689,2.71,Tyler Roberts,MID,Leeds
690,1.39,Tyrick Mitchell,DEF,Crystal Palace
691,1.68,Tyrone Mings,DEF,Aston Villa
692,1.9304166666666667,Vicente Guaita,GK,Crystal Palace
693,2.2,Victor Lindelöf,DEF,Man Utd
694,1.26,Viljami Sinisalo,GK,Aston Villa
695,2.92,Vincent Angelini,GK,Watford
696,2.95,Virgil van Dijk,DEF,Liverpool
697,1.57,Vitalii Mykolenko,DEF,Everton
698,2.46,Vitaly Janelt,MID,Brentford
699,2.43,Vladimir Coufal,DEF,West Ham
700,0.6,Vontae Daley-Campbell,DEF,Leicester
701,2.49,Wayne Hennessey,GK,Crystal Palace
702,0.83,Wesley Fofana,DEF,Leicester
703,2.18,Wesley Moraes,FWD,Aston Villa
704,1.5704705882352943,Wilfred Ndidi,MID,Leicester
705,3.1,Wilfried Zaha,MID,Crystal Palace
706,2.35,Will Hughes,MID,Watford
707,2.12,Will Norris,GK,Burnley
708,0.57,William Saliba,DEF,Arsenal
709,0.71,William Smallbone,MID,Southampton
710,2.92,William Troost-Ekong,DEF,Watford
711,2.43,Willian Borges Da Silva,MID,Arsenal
712,2.37,Willy Boly,DEF,Wolves
713,1.01,Willy Caballero,GK,Chelsea
714,2.11,Winston Reid,DEF,West Ham
715,2.93,Wout Weghorst,FWD,Burnley
716,2.59,Xherdan Shaqiri,MID,Liverpool
717,1.53,Yan Valery,DEF,Southampton
718,1.97,Yerry Mina,DEF,Everton
719,1.73,Yerson Mosquera Valdelamar,DEF,Wolves
720,2.29,Yoane Wissa,MID,Brentford
721,3.1,Youri Tielemans,MID,Leicester
722,3.13,Yves Bissouma,MID,Brighton
723,0.59,Zach Awe,DEF,Arsenal
724,3.16,Zack Steffen,GK,Man City
725,0.79,Zak Swanson,DEF,Arsenal
726,1.82,Álvaro Fernández,GK,Brentford
727,1.3604166666666668,Çaglar Söyüncü,DEF,Leicester
