,predict,name,position,team
125,1.35,Christos Tzolis,MID,Norwich
126,2.39,Ciaran Clark,DEF,Newcastle
127,1.73,Cieran Slicker,GK,Man City
128,2.27,Cody Drameh,DEF,Leeds
129,2.64,Cole Palmer,MID,Man City
130,2.5504166666666666,Connor Roberts,DEF,Burnley
131,1.69,Conor Bradley,DEF,Liverpool
132,2.46,Conor Coady,DEF,Wolves
133,0.82,Conor Coventry,MID,West Ham
134,1.75,Conor Gallagher,MID,West Brom
135,1.4,Conor Hourihane,MID,Aston Villa
136,1.89,Conrad Egan-Riley,DEF,Man City
137,1.8404705882352943,Craig Cathcart,DEF,Watford
138,2.03,Craig Dawson,DEF,West Ham
139,1.36,Cristian Romero,DEF,Spurs
140,4.22,Cristiano Ronaldo dos Santos Aveiro,FWD,Man Utd
141,1.62,Crysencio Summerville,MID,Leeds
142,2.65,Curtis Jones,MID,Liverpool
143,3.15,Cédric Soares,DEF,Arsenal
144,2.5,César Azpilicueta,DEF,Chelsea
145,1.89,Dale Stephens,MID,Brighton
146,1.3504166666666668,Dan Burn,DEF,Brighton
147,2.41,Dan Gosling,MID,Watford
148,0.64,Dane Scarlett,FWD,Spurs
149,1.11,Daniel Amartey,DEF,Leicester
150,0.62,Daniel Bachmann,GK,Watford
151,2.41,Daniel Castelo Podence,MID,Wolves
152,0.78,Daniel Chesters,MID,West Ham
153,2.79,Daniel James,MID,Man Utd
154,0.59,Daniel N'Lundulu,FWD,Southampton
155,3.46,Danny Ings,FWD,Southampton
156,3.33,Danny Rose,DEF,Spurs
157,0.59,Danny Ward,GK,Leicester
158,3.35,Danny Welbeck,FWD,Brighton
159,1.53,Dara Costelloe,MID,Burnley
160,2.06,Darren Randolph,GK,West Ham
161,1.99,David Raya Martin,GK,Brentford
162,2.62,David de Gea,GK,Man Utd
163,1.18,Davinson Sánchez,DEF,Spurs
164,1.13,Davy Pröpper,MID,Brighton
165,2.82,Dean Henderson,GK,Man Utd
166,2.81,Declan Rice,MID,West Ham
167,3.38,Dejan Kulusevski,MID,Spurs
168,2.13,Demarai Gray,MID,Leicester
169,1.05,Dennis Praet,MID,Leicester
170,2.76,Diego Llorente,DEF,Leeds
171,1.5,Dilan Markanday,MID,Spurs
172,2.14,Dimitris Giannoulis,DEF,Norwich
173,3.75,Diogo Jota,MID,Wolves
174,0.9,Dion Sanderson,DEF,Wolves
175,1.67,Divock Origi,FWD,Liverpool
176,2.12,Domingos Quina,MID,Watford
177,3.65,Dominic Calvert-Lewin,FWD,Everton
178,1.49,Dominic Thompson,DEF,Brentford
179,2.7904705882352943,Donny van de Beek,MID,Man Utd
180,1.66,Douglas Luiz Soares de Paulo,MID,Aston Villa
181,2.46,Dwight Gayle,FWD,Newcastle
182,2.7,Dwight McNeil,MID,Burnley
183,0.55,Dynel Simeu,DEF,Southampton
184,2.96,Eberechi Eze,MID,Crystal Palace
